Grapheme	IPA	Frequency
^m	m	11
o	o	7
n	n̪	87
$	NULL	183
^t	t̪	6
u	u	38
r	r	27
ū	uː	35
i	i	18
^ē	eː	2
^y	j	2
ē	eː	22
^i	i	11
l	l	17
ā	ʌː	121
^ā	ʌː	34
ī	iː	61
^g	g	8
e	e	49
^b	b	10
p	p	22
ai	ai	9
^u	u	2
b	b	44
-	+	123
g	g	38
k	k	55
t	t̪	29
ṅ	ŋ	29
a	ʌ	24
y	j	5
^d	d̪	26
d	d̪	34
^d’	d̪ʰ	1
ō	oː	37
^j	dʒ	10
j	dʒ	12
^k	k	6
^s	s	10
+	+	57
s	s	5
ch	tʃ	3
^ch	tʃ	5
^a	ʌ	14
w	w	5
h	h	2
ē̃	ẽː	1
^l	l	7
^ī	iː	3
ng	ŋ	1
au	au	2
ᶜ	c̚	21
ʰ	h	21
ṭ	ʈ	1
^h	h	4
ẽ	ẽ	5
^ã	ã	1
ã	ã	1
^w	w	1
^š	ʃ	2
å	ɔ	1
m	m	33
ṛ	ɽ	1
^ṭ	ʈ	1
š	ʃ	12
f	f	1
^n	n̪	1
^p	p	1
^b’	bʰ	1
k’	kʰ	1
ṇ	ɳ	1
ḍ	ɖ	1
^ū	uː	1
^G	g	1
^ts	ts	2
ᵗ	t̪̚	1
