Grapheme	IPA	Frequency
^p	p	10
ā	ʌː	50
n	n̪	15
j	dʒ	2
$	NULL	154
^ā	ʌː	2
ꭓ	x	11
š	ʃ	14
e	e	76
^a	ʌ	4
v	v	13
d	d̪	17
k	k	17
i	i	39
^n	n̪	11
au	au	2
^y	j	12
u	u	14
^d	d̪	7
a	ʌ	95
h	h	17
^l	l	8
^š	ʃ	5
r	r	29
ai	ai	12
^ch	tʃ	4
f	f	21
ū	uː	13
^t	t̪	11
t	t̪	34
+	+	56
^ž	ʒ	10
ē	eː	9
^w	w	22
ī	iː	8
^m	m	21
l	l	16
^z	z	9
ü	y	1
ng	ŋ	1
ɣ	ɣ	5
s	s	16
y	j	9
g	g	7
p	p	4
^k	k	4
^ɣ	ɣ	13
ch	tʃ	2
z	z	9
m	m	23
^r	r	2
ž	ʒ	7
o	o	17
^b	b	1
ᵃ	ă	1
b	b	1
^o	o	1
å	ɔ	2
-$	NULL	9
^ꭓ	x	2
θ	θ	1
^s	s	2
-	+	1
oi	ɔɪ	1
w	w	2
^f	f	1
q	q	2
^X	x	1
āi	aːi	1
ei	ei	1
