Grapheme	IPA	Frequency
^p	p	21
a	ʌ	77
ñ	ɲ	2
j	dʒ	12
$	NULL	200
^ch’	tʃʰ	1
ai	ai	7
^s	s	10
t	t̪	31
^a	ʌ	15
ṭ	ʈ	8
ṭ’	ʈʰ	6
^n	n̪	6
au	au	6
^i	i	1
k	k	17
^d	d̪	8
s	s	31
ō	oː	27
^t	t̪	24
i	i	31
n	n̪	32
r	r	50
^ch	tʃ	3
ā	ʌː	93
u	u	29
^b	b	13
p	p	7
ū	uː	9
d	d̪	11
ū̃	ũː	10
-	+	10
t’	t̪ʰ	3
ō̃	õː	5
+	+	49
^m	m	18
ā̃	ãː	26
ī	iː	29
ē	eː	38
b	b	4
^b’	bʰ	10
^v	v	2
ṇ	ɳ	5
^ā	ʌː	4
m	m	23
k’	kʰ	3
ī̃	ĩː	22
v	v	3
ḍ	ɖ	12
ḍ’	ɖʰ	2
^w	w	2
h	h	33
ch	tʃ	5
^k	k	17
^d’	d̪ʰ	2
^g’	gʰ	6
ṛ	ɽ	13
^ḍ’	ɖʰ	4
g	g	22
^g	g	6
^h	h	7
l	l	15
^u	u	23
ch’	tʃʰ	1
ũ	ũ	1
^j	dʒ	4
-$	NULL	13
^k’	kʰ	3
ĩ	ĩ	18
ē̃	ẽː	4
y	j	2
e	e	2
˥˦$	⁵⁴	1
n’	n̪̊ʰ	3
w	w	2
āi	aːi	1
b’	bʰ	1
^l	l	1
^R	r	1
^W	w	1
^ṭ	ʈ	1
d’	d̪ʰ	1
o	o	1
