Grapheme	IPA	Frequency
^z	z	4
à	a	91
n	n̪	34
$	NULL	182
^t’	t̪ʰ	2
r	r	29
e	e	19
w	w	17
^h	h	15
ü	y	34
t’	t̪ʰ	11
l	l	21
āi	aːi	16
m	m	44
p	p	26
ā	ʌː	17
š	ʃ	2
^m	m	11
i	i	79
^š	ʃ	8
-	+	58
p’	pʰ	4
u	u	43
^ā	ʌː	4
^l	l	4
^‘	NULL	2
^j	dʒ	20
o	o	44
ṅ	ŋ	33
+	+	68
‘	NULL	5
^t	t̪	9
’	NULL	17
b	b	4
ai	ai	5
^’	NULL	1
^p	p	3
^b	b	9
ē	eː	18
^k’	kʰ	4
ū	uː	5
h	h	17
^k	k	14
s	s	25
t	t̪	14
I	i	3
^n	n̪	4
k	k	4
j	dʒ	1
^d	d̪	13
^u	u	3
^ai	ai	2
°	NULL	27
^ñ	ɲ	1
^ṅ	ŋ	1
^-	+	5
^ē	eː	5
^e	e	1
^w	w	2
^à	a	23
^i	i	2
^p’	pʰ	2
^s	s	4
^ch	tʃ	1
ch	tʃ	12
k’	kʰ	2
ī	iː	1
^r	r	2
au	au	1
^P	p	1
d’	d̪ʰ	1
d	d̪	2
ei	ei	1
